plot,div,especie,sci_sp,abrev,comp
43,2,algodao,Cochlospermum vitifolium,CochVit,ee
43,2,imburana,Commiphora leptophloeos,ComLepto,ee
45,2,imburana,Commiphora leptophloeos,ComLepto,jj
45,2,ipe,Handroanthus impetiginosus ,HandImp,jj
51,2,mofumbu,Combretum leprosum,CombLepr,kk
51,2,mororo,Bauhinha cheilanta,BauChei,kk
53,2,ju_preta,Mimosa tenuiflora,MimTen,ll
53,2,pereiro,Aspidospermum pyrifolium,AspPyri,ll
55,2,joazeiro,Ziziphus joazeiro,ZizJoaz,dd
55,2,ju_branca,Piptadenia stipulacea,PipStip,dd
57,2,imbira,Pseudobombax marginatum,PseuMar,mm
57,2,mororo,Bauhinha cheilanta,BauChei,mm
61,2,imbira,Pseudobombax marginatum,PseuMar,mm
61,2,mororo,Bauhinha cheilanta,BauChei,mm
64,2,feijao,Cynophala hastata,CynoHas,nn
64,2,ju_branca,Piptadenia stipulacea,PipStip,nn
72,2,feijao,Cynophala hastata,CynoHas,nn
72,2,ju_branca,Piptadenia stipulacea,PipStip,nn
73,2,angico,Anandenanthera colubrina,AnanCol,bb
73,2,ju_preta,Mimosa tenuiflora,MimTen,bb
74,2,cumaru,Amburana cearensis,AmbCear,oo
74,2,feijao,Cynophala hastata,CynoHas,oo
78,2,angico,Anandenanthera colubrina,AnanCol,bb
78,2,ju_preta,Mimosa tenuiflora,MimTen,bb
87,2,algodao,Cochlospermum vitifolium,CochVit,aa
87,2,joazeiro,Ziziphus joazeiro,ZizJoaz,aa
88,2,ju_preta,Mimosa tenuiflora,MimTen,ll
88,2,pereiro,Aspidospermum pyrifolium,AspPyri,ll
89,2,mofumbu,Combretum leprosum,CombLepr,kk
89,2,mororo,Bauhinha cheilanta,BauChei,kk
91,2,cumaru,Amburana cearensis,AmbCear,pp
91,2,mofumbu,Combretum leprosum,CombLepr,pp
92,2,burra,Sebastiania macrocarpa,SebMac,ii
92,2,imbira,Pseudobombax marginatum,PseuMar,ii
96,2,cating,Poincianella gardneriana,Poingard,cc
96,2,juca,Libidibia ferrea,LibFerr,cc
107,2,feijao,Cynophala hastata,CynoHas,nn
107,2,ju_branca,Piptadenia stipulacea,PipStip,nn
109,2,cumaru,Amburana cearensis,AmbCear,oo
109,2,feijao,Cynophala hastata,CynoHas,oo
110,2,juca,Libidibia ferrea,LibFerr,hh
110,2,pereiro,Aspidospermum pyrifolium,AspPyri,hh
111,2,algodao,Cochlospermum vitifolium,CochVit,ee
111,2,imburana,Commiphora leptophloeos,ComLepto,ee
113,2,imburana,Commiphora leptophloeos,ComLepto,jj
113,2,ipe,Handroanthus impetiginosus ,HandImp,jj
114,2,mofumbu,Combretum leprosum,CombLepr,kk
114,2,mororo,Bauhinha cheilanta,BauChei,kk
119,2,cumaru,Amburana cearensis,AmbCear,pp
119,2,mofumbu,Combretum leprosum,CombLepr,pp
120,2,cating,Poincianella gardneriana,Poingard,gg
120,2,ipe,Handroanthus impetiginosus ,HandImp,gg
122,2,joazeiro,Ziziphus joazeiro,ZizJoaz,dd
122,2,ju_branca,Piptadenia stipulacea,PipStip,dd
124,2,imburana,Commiphora leptophloeos,ComLepto,jj
124,2,ipe,Handroanthus impetiginosus ,HandImp,jj
131,2,ju_preta,Mimosa tenuiflora,MimTen,ll
